ab ba
ah ha
ak ka
al la
am ma
an na
as sa
at ta
da ad
do od
ea ae
ed de
em me
en ne
er re
es se
fo of
he eh
id di
if fi
in ni
is si
ko ok
mo om
my ym
og go
oh ho
on no
or ro
os so
ow wo
pu up
ra ar
ti it
tu ut
um mu
un nu
wa aw
ya ay
ye ey
aal ala
act cat
add dad
ade dae
ago goa
aho hao
aid ida
ake kea
ale lea
ama aam
ame mae
ani ian
ann nan
ark kra
ata taa
ave eva
awl law
aye yea
baa aba
bab abb
bad dab
bag gab
bas sab
baw wab
bay aby
bed deb
bel elb
ben neb
bey bye
bid dib
big gib
bim mib
bis sib
bit tib
blo lob
boa abo
bom mob
bon nob
bos sob
bur rub
cab bac
cam mac
cap pac
car arc
cha ach
cho och
cit tic
cod doc
dal lad
dan and
dar rad
das sad
deg ged
dig gid
dim mid
dis sid
dit tid
dob bod
dom mod
don nod
dor rod
dub bud
dug gud
eel lee
eft fet
eke kee
elt let
emm mem
erd red
eve vee
far fra
fat aft
fen nef
fig gif
foo ofo
gad dag
gaj jag
gas sag
gat tag
gaw wag
gay agy
gel leg
geo ego
ges seg
gio goi
gip pig
git tig
gob bog
god dog
gol log
gon nog
gor rog
gos sog
got tog
gum mug
gun gnu
gup pug
gut tug
ham mah
hei hie
hot tho
hud dhu
huk khu
hup phu
ibo obi
ide die
ion ino
irk rik
jar raj
jat taj
kan nak
kha hak
kil ilk
kin ink
kor rok
kos sok
lac cal
lag gal
lak alk
lam mal
lan aln
lay aly
lek elk
leo ole
les els
ley lye
lim mil
lof flo
lop pol
lot tol
lug gul
luo lou
mab bam
mad dam
mag gam
man nam
mau aum
maw mwa
meg gem
mel elm
mew wem
mig gim
min nim
mir rim
moe meo
mot tom
moy yom
mud dum
mus sum
naa ana
nab ban
nag gan
nep pen
net ten
nib bin
nil lin
not ton
nub bun
nut tun
oam mao
odd dod
oft fot
ohm mho
oki koi
ona noa
ons son
oto too
ouf fou
our uro
out tou
ova avo
pad dap
pah hap
pam map
pan nap
pau pua
paw wap
pea ape
per rep
phi hip
pik kip
pim imp
pin nip
pob bop
pod dop
poe ope
pom mop
pry pyr
pud dup
pus sup
put tup
rap par
raw war
rax arx
reb ber
rel ler
rie ire
rio roi
rip pir
ron nor
rue ure
rug gur
rum mru
rut tur
rye yer
saa asa
sak ask
sar ras
sat ast
say yas
sen ens
ser ers
sew wes
sho soh
shu ush
sia sai
sil lis
sim ism
sip psi
sly lys
sri sir
ssi sis
ssu sus
sub bus
sud uds
tab bat
tay yat
teg get
the het
til lit
tin nit
tip pit
tod dot
toi ito
toy yot
tri rit
tub but
tue ute
twi wit
udo duo
ugh hug
ume emu
urd rud
urf fur
urn run
use sue
ust stu
uva vau
vat tav
vei vie
wac caw
wed dew
wee ewe
wen new
wet tew
who how
wob bow
woe owe
wop pow
wro row
yah hay
yak kay
yaw way
yee eye
yeo yoe
yet tye
yoi iyo
yon noy
yow woy
yox oxy
zad adz
zag gaz
zoa azo
abac caba
abba baba
abby baby
achy chay
adam dama
adat data
addy dyad
adib ibad
adit dita
aeon eoan
affy yaff
agua agau
ahom moha
ahum huma
aire eria
akal kala
akan kana
akha kaha
alas lasa
alif fail
alum maul
amah maha
amia maia
amic mica
amma maam
amok mako
anay yana
anba bana
anne nane
ansu anus
